nome_repo,n_estrelas,d_criacao,d_atualizacao,n_releases,linguagem,n_issues,n_issues_fechadas,n_pull_requests
freeCodeCamp/freeCodeCamp,371255,2014-12-24T17:49:19Z,2023-08-22T23:45:54Z,0,TypeScript,17019,16815,33608
EbookFoundation/free-programming-books,296288,2013-10-11T06:50:37Z,2023-08-23T00:18:07Z,0,,958,924,8388
996icu/996.ICU,267799,2019-03-26T07:31:14Z,2023-08-23T00:13:23Z,0,,0,0,3195
sindresorhus/awesome,266350,2014-07-11T13:42:37Z,2023-08-23T00:24:50Z,0,,331,306,1103
jwasham/coding-interview-university,263669,2016-06-06T02:34:12Z,2023-08-23T00:19:31Z,0,,402,358,2372
public-apis/public-apis,252678,2016-03-20T23:49:42Z,2023-08-23T00:12:50Z,0,Python,504,502,4527
kamranahmedse/developer-roadmap,247545,2017-03-15T13:45:52Z,2023-08-23T00:23:51Z,1,TypeScript,1355,866,3639
donnemartin/system-design-primer,227451,2017-02-26T16:15:28Z,2023-08-23T00:19:51Z,0,Python,259,75,329
codecrafters-io/build-your-own-x,213668,2018-05-09T12:03:18Z,2023-08-23T00:25:58Z,0,,560,395,528
facebook/react,212071,2013-05-24T16:15:54Z,2023-08-23T00:02:31Z,99,JavaScript,12406,11328,15910
vuejs/vue,204879,2013-07-29T03:24:51Z,2023-08-22T23:32:20Z,245,TypeScript,9987,9608,3547
vinta/awesome-python,177815,2014-06-27T21:00:06Z,2023-08-23T00:21:54Z,0,Python,0,0,1644
tensorflow/tensorflow,177111,2015-11-07T01:19:20Z,2023-08-23T00:03:31Z,194,C++,37798,35875,152749
trekhleb/javascript-algorithms,174234,2018-03-24T07:47:04Z,2023-08-23T00:23:00Z,0,JavaScript,325,210,1098
getify/You-Dont-Know-JS,170685,2013-11-16T02:37:24Z,2023-08-23T00:23:48Z,0,,913,833,1893
CyC2018/CS-Notes,166272,2018-02-13T14:56:24Z,2023-08-22T18:41:38Z,0,,566,441,3781
TheAlgorithms/Python,165180,2016-07-16T09:44:01Z,2023-08-23T00:01:53Z,0,Python,1289,1266,2910
twbs/bootstrap,165016,2011-07-29T21:19:00Z,2023-08-22T23:00:14Z,87,JavaScript,22091,21757,22559
ohmyzsh/ohmyzsh,161682,2009-08-28T18:15:37Z,2023-08-22T23:35:18Z,0,Shell,4525,4306,6948
torvalds/linux,156239,2011-09-04T22:48:12Z,2023-08-23T00:19:56Z,0,C,0,0,1201783
flutter/flutter,156053,2015-03-06T22:54:58Z,2023-08-23T00:11:18Z,2,Dart,85791,74321,36444
github/gitignore,150736,2010-11-08T20:17:14Z,2023-08-22T21:55:59Z,0,,0,0,3528
microsoft/vscode,149620,2015-09-03T20:23:38Z,2023-08-23T00:19:00Z,109,TypeScript,161812,154416,112502
ossu/computer-science,147591,2014-05-04T00:18:39Z,2023-08-23T00:05:59Z,0,,613,596,998
Significant-Gravitas/Auto-GPT,146975,2023-03-16T09:21:07Z,2023-08-23T00:04:37Z,18,Python,1933,1317,2300
awesome-selfhosted/awesome-selfhosted,144756,2015-06-01T02:33:17Z,2023-08-23T00:21:53Z,1,,803,803,6328
jackfrued/Python-100-Days,139057,2018-03-01T16:05:52Z,2023-08-23T00:24:27Z,0,Python,608,102,372
jlevy/the-art-of-command-line,138855,2015-05-20T15:11:03Z,2023-08-22T22:44:47Z,0,,237,131,1218
Snailclimb/JavaGuide,136277,2018-05-07T13:27:00Z,2023-08-23T00:19:06Z,0,Java,913,854,4985
airbnb/javascript,136039,2012-11-01T23:13:50Z,2023-08-22T22:17:56Z,0,JavaScript,1263,1170,1964
ytdl-org/youtube-dl,122936,2010-10-31T14:35:07Z,2023-08-23T00:14:44Z,341,Python,26299,22458,18776
labuladong/fucking-algorithm,117709,2020-02-19T09:01:23Z,2023-08-23T00:06:09Z,1,Markdown,786,449,465
